2018-10-28 01:43:14,999 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:43:15,015 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:43:15,015 [Worker-19: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:43:15,015 [Worker-19: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:54:49,357 [Worker-25: Creating project "Mass"] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Indus:Mass:0.0.1-SNAPSHOT @ C:\IndusTraining\WorkSpace\CoreJavaDay3\Mass\pom.xml.
2018-10-28 01:54:49,607 [Worker-25: Creating project "Mass"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Mass/src/main/java
2018-10-28 01:54:49,607 [Worker-25: Creating project "Mass"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Mass/src/main/resources
2018-10-28 01:54:49,607 [Worker-25: Creating project "Mass"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Mass/src/test/java
2018-10-28 01:54:49,607 [Worker-25: Creating project "Mass"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /Mass/src/test/resources
2018-10-28 01:54:51,679 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-28 01:54:51,695 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-10-28 01:54:51,695 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
